+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                ;
+----------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+----------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; u_apb_subsystem|gen_apb_uart_1.u_apb_uart_1                          ; 53    ; 18             ; 12           ; 18             ; 41     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_apb_subsystem|gen_apb_gpio_0.u_gpio_0|x_gpio_ctrl                  ; 76    ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_apb_subsystem|gen_apb_gpio_0.u_gpio_0|x_gpio_apbif                 ; 66    ; 24             ; 24           ; 24             ; 97     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_apb_subsystem|gen_apb_gpio_0.u_gpio_0                              ; 43    ; 3              ; 0            ; 3              ; 42     ; 3               ; 3             ; 3               ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; u_apb_subsystem|gen_apb_timer_0.u_apb_timer_0                        ; 53    ; 6              ; 0            ; 6              ; 35     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_apb_subsystem|u_apb_slave_mux                                      ; 549   ; 319            ; 136          ; 319            ; 50     ; 319             ; 319           ; 319             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_apb_subsystem|u_ahb_to_apb                                         ; 97    ; 3              ; 4            ; 3              ; 93     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_apb_subsystem                                                      ; 70    ; 23             ; 2            ; 23             ; 70     ; 23              ; 23            ; 23              ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; U_SRAM                                                               ; 74    ; 1              ; 18           ; 1              ; 33     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_outputstage_2|u_output_arb                          ; 13    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_outputstage_2                                       ; 447   ; 0              ; 0            ; 0              ; 151    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_outputstage_1|u_output_arb                          ; 13    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_outputstage_1                                       ; 447   ; 0              ; 0            ; 0              ; 151    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_outputstage_0|u_output_arb                          ; 13    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_outputstage_0                                       ; 447   ; 0              ; 0            ; 0              ; 151    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_cmsdk_ahb_bm_decodesi2|u_BusMatrix3x3_default_slave ; 6     ; 0              ; 1            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_cmsdk_ahb_bm_decodesi2                              ; 232   ; 0              ; 0            ; 0              ; 71     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_cmsdk_ahb_bm_decodesi1|u_BusMatrix3x3_default_slave ; 6     ; 0              ; 1            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_BusMatrix3x3|u_cmsdk_ahb_bm_decodesi1                              ; 232   ; 0              ; 0            ; 0              ; 71     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
